Doc0 tragedy of romeo and juliet
Doc1 by william shakespeare
Doc2 dramatis personae
Doc3   chorus
Doc2134   rom let me be taen let me be put to death
Doc2135     i am content so thou wilt have it so
Doc2136     ill say yon grey is not the mornings eye
Doc2137     tis but the pale reflex of cynthias brow
Doc2138     nor that is not the lark whose notes do beat
Doc2139     the vaulty heaven so high above our heads
Doc2140     i have more care to stay than will to go
Doc2141     come death and welcome juliet wills it so
Doc2142     how ist my soul? lets talk it is not day
Doc2143   jul it is it is hie hence be gone away
Doc2144     it is the lark that sings so out of tune
Doc2145     straining harsh discords and unpleasing sharps
Doc2146     some say the lark makes sweet division
Doc2147     this doth not so for she divideth us
Doc2148     some say the lark and loathed toad changd eyes
Doc2149     o now i would they had changd voices too
Doc2150     since arm from arm that voice doth us affray
Doc2151     hunting thee hence with hunts up to the day
Doc2152     o now be gone more light and light it grows
Doc2153   rom more light and light  more dark and dark our woes
Doc2154                           enter nurse
Doc2155   nurse madam
Doc2156   jul nurse?
Doc2157   nurse your lady mother is coming to your chamber
Doc2158     the day is broke be wary look about
Doc2159   jul then window let day in and let life out
Doc2160                                                          [exit]
Doc2161   rom farewell farewell one kiss and ill descend
Doc2162                                                   he goeth down
Doc2163   jul art thou gone so my lord my love my friend?
Doc2164     i must hear from thee every day in the hour
Doc2165     for in a minute there are many days
Doc2166     o by this count i shall be much in years
Doc2167     ere i again behold my romeo
Doc2168   rom farewell
Doc2169     i will omit no opportunity
Doc2170     that may convey my greetings love to thee
Doc2171   jul o thinkst thou we shall ever meet again?
Doc2172   rom i doubt it not and all these woes shall serve
Doc2173     for sweet discourses in our time to come
Doc2174   jul o god i have an ill divining soul
Doc2175     methinks i see thee now thou art below
Doc2176     as one dead in the bottom of a tomb
Doc2177     either my eyesight fails or thou lookst pale
Doc2178   rom and trust me love in my eye so do you
Doc2179     dry sorrow drinks our blood adieu adieu
Doc2180 exit
Doc2181   jul o fortune fortune all men call thee fickle
Doc2182     if thou art fickle what dost thou with him
Doc2183     that is renownd for faith? be fickle fortune
Doc2184     for then i hope thou wilt not keep him long
Doc2185     but send him back
Doc2186   lady [within] ho daughter are you up?
Doc2187   jul who ist that calls? it is my lady mother
Doc2188     is she not down so late or up so early?
Doc2189     what unaccustomd cause procures her hither?
Doc2190                        enter mother
Doc2191   lady why how now juliet?
Doc2192   jul madam i am not well
Doc2193   lady evermore weeping for your cousins death?
Doc2194     what wilt thou wash him from his grave with tears?
Doc2195     an if thou couldst thou couldst not make him live
Doc2196     therefore have done some grief shows much of love
Doc2197     but much of grief shows still some want of wit
Doc2198   jul yet let me weep for such a feeling loss
Doc2199   lady so shall you feel the loss but not the friend
Doc2200     which you weep for
Doc2201   jul feeling so the loss
Doc2202     i cannot choose but ever weep the friend
Doc2203   lady well girl thou weepst not so much for his death
Doc2204     as that the villain lives which slaughterd him
Doc2205   jul what villain madam?
Doc2206   lady that same villain romeo
Doc2207   jul [aside] villain and he be many miles asunder 
Doc2208     god pardon him i do with all my heart
Doc2209     and yet no man like he doth grieve my heart
Doc2210   lady that is because the traitor murderer lives
Doc2211   jul ay madam from the reach of these my hands
Doc2212     would none but i might venge my cousins death
Doc2213   lady we will have vengeance for it fear thou not
Doc2214     then weep no more ill send to one in mantua
Doc2215     where that same banishd runagate doth live
Doc2216     shall give him such an unaccustomd dram
Doc2217     that he shall soon keep tybalt company
Doc2218     and then i hope thou wilt be satisfied
Doc2219   jul indeed i never shall be satisfied
Doc2220     with romeo till i behold him  dead 
Doc2221     is my poor heart so for a kinsman vexd
Doc2222     madam if you could find out but a man
Doc2223     to bear a poison i would temper it
Doc2224     that romeo should upon receipt thereof
Doc2225     soon sleep in quiet o how my heart abhors
Doc2226     to hear him namd and cannot come to him
Doc2227     to wreak the love i bore my cousin tybalt
Doc2228     upon his body that hath slaughterd him
Doc2229   lady find thou the means and ill find such a man
Doc2230     but now ill tell thee joyful tidings girl
Doc2231   jul and joy comes well in such a needy time
Doc2232     what are they i beseech your ladyship?
Doc2233   lady well well thou hast a careful father child
Doc2234     one who to put thee from thy heaviness
Doc2235     hath sorted out a sudden day of joy
Doc2236     that thou expects not nor i lookd not for
Doc2237   jul madam in happy time what day is that?
Doc2238   lady marry my child early next thursday morn
Doc2239     the gallant young and noble gentleman
Doc2240     the county paris at saint peters church
Doc2241     shall happily make thee there a joyful bride
Doc2242   jul now by saint peters church and peter too
Doc2243     he shall not make me there a joyful bride
Doc2244     i wonder at this haste that i must wed
Doc2245     ere he that should be husband comes to woo
Doc2246     i pray you tell my lord and father madam
Doc2247     i will not marry yet and when i do i swear
Doc2248     it shall be romeo whom you know i hate
Doc2249     rather than paris these are news indeed
Doc2250   lady here comes your father tell him so yourself
Doc2251     and see how be will take it at your hands
Doc2252                    enter capulet and nurse
Doc2253   cap when the sun sets the air doth drizzle dew
Doc2254     but for the sunset of my brothers son
Doc2255     it rains downright
Doc2256     how now? a conduit girl? what still in tears?
Doc2257     evermore showring? in one little body
Doc2258     thou counterfeitst a bark a sea a wind
Doc2259     for still thy eyes which i may call the sea
Doc2260     do ebb and flow with tears the bark thy body is
Doc2261     sailing in this salt flood the winds thy sighs
Doc2262     who raging with thy tears and they with them
Doc2263     without a sudden calm will overset
Doc2264     thy tempest tossed body how now wife?
Doc2265     have you delivered to her our decree?
Doc2266   lady ay sir but she will none she gives you thanks
Doc2267     i would the fool were married to her grave
Doc2268   cap soft take me with you take me with you wife
Doc2269     how? will she none? doth she not give us thanks?
Doc2270     is she not proud? doth she not count her blest
Doc2271     unworthy as she is that we have wrought
Doc2272     so worthy a gentleman to be her bridegroom?
Doc2273   jul not proud you have but thankful that you have
Doc2274     proud can i never be of what i hate
Doc2275     but thankful even for hate that is meant love
Doc2276   cap how how how how choplogic? what is this?
Doc2277     proud  and i thank you  and i thank you not 
Doc2278     and yet not proud? mistress minion you
Doc2279     thank me no thankings nor proud me no prouds
Doc2280     but fettle your fine joints gainst thursday next
Doc2281     to go with paris to saint peters church
Doc2282     or i will drag thee on a hurdle thither
Doc2283     out you green sickness carrion i out you baggage
Doc2284     you tallow face
Doc2285   lady fie fie what are you mad?
Doc2286   jul good father i beseech you on my knees
Doc2287     hear me with patience but to speak a word
Doc2288   cap hang thee young baggage disobedient wretch
Doc2289     i tell thee what  get thee to church a thursday
Doc2290     or never after look me in the face
Doc2291     speak not reply not do not answer me
Doc2292     my fingers itch wife we scarce thought us blest
Doc2293     that god had lent us but this only child
Doc2294     but now i see this one is one too much
Doc2295     and that we have a curse in having her
Doc2296     out on her hilding
Doc2297   nurse god in heaven bless her
Doc2298     you are to blame my lord to rate her so
Doc2299   cap and why my lady wisdom? hold your tongue
Doc2300     good prudence smatter with your gossips go
Doc2301   nurse i speak no treason
Doc2302   cap o god i god en
Doc2303   nurse may not one speak?
Doc2304   cap peace you mumbling fool
Doc2305     utter your gravity oer a gossips bowl
Doc2306     for here we need it not
Doc2307   lady you are too hot
Doc2308   cap gods bread i it makes me mad day night late early
Doc2309     at home abroad alone in company
Doc2310     waking or sleeping still my care hath been
Doc2311     to have her matchd and having now provided
Doc2312     a gentleman of princely parentage
Doc2313     of fair demesnes youthful and nobly traind
Doc2314     stuffd as they say with honourable parts
Doc2315     proportiond as ones thought would wish a man 
Doc2316     and then to have a wretched puling fool
Doc2317     a whining mammet in her fortunes tender
Doc2318     to answer ill not wed i cannot love
Doc2319     i am too young i pray you pardon me
Doc2320     but an you will not wed ill pardon you
Doc2321     graze where you will you shall not house with me
Doc2322     look tot think ont i do not use to jest
Doc2323     thursday is near lay hand on heart advise
Doc2324     an you be mine ill give you to my friend
Doc2325     an you be not hang beg starve die in the streets
Doc2326     for by my soul ill neer acknowledge thee
Doc2327     nor what is mine shall never do thee good
Doc2328     trust tot bethink you ill not be forsworn         exit
Doc2329   jul is there no pity sitting in the clouds
Doc2330     that sees into the bottom of my grief?
Doc2331     o sweet my mother cast me not away
Doc2332     delay this marriage for a month a week
Doc2333     or if you do not make the bridal bed
Doc2334     in that dim monument where tybalt lies
Doc2335   lady talk not to me for ill not speak a word
Doc2336     do as thou wilt for i have done with thee            exit
Doc2337   jul o god  o nurse how shall this be prevented?
Doc2338     my husband is on earth my faith in heaven
Doc2339     how shall that faith return again to earth
Doc2340     unless that husband send it me from heaven
Doc2341     by leaving earth? comfort me counsel me
Doc2342     alack alack that heaven should practise stratagems
Doc2343     upon so soft a subject as myself
Doc2344     what sayst thou? hast thou not a word of joy?
Doc2345     some comfort nurse
Doc2346   nurse faith here it is
Doc2347     romeo is banishd and all the world to nothing
Doc2348     that he dares neer come back to challenge you
Doc2349     or if he do it needs must be by stealth
Doc2350     then since the case so stands as now it doth
Doc2351     i think it best you married with the county
Doc2352     o hes a lovely gentleman
Doc2353     romeos a dishclout to him an eagle madam
Doc2354     hath not so green so quick so fair an eye
Doc2355     as paris hath beshrew my very heart
Doc2356     i think you are happy in this second match
Doc2357     for it excels your first or if it did not
Doc2358     your first is dead  or twere as good he were
Doc2359     as living here and you no use of him
Doc2360   jul speakst thou this from thy heart?
Doc2361   nurse and from my soul too else beshrew them both
Doc2362   jul amen
Doc2363   nurse what?
Doc2364   jul well thou hast comforted me marvellous much
Doc2365     go in and tell my lady i am gone
Doc2366     having displeasd my father to laurence cell
Doc2367     to make confession and to be absolvd
Doc2368   nurse marry i will and this is wisely done           exit
Doc2369   jul ancient damnation o most wicked fiend
Doc2370     is it more sin to wish me thus forsworn
Doc2371     or to dispraise my lord with that same tongue
Doc2372     which she hath praisd him with above compare
Doc2373     so many thousand times? go counsellor
Doc2374     thou and my bosom henceforth shall be twain
Doc2375     ill to the friar to know his remedy
Doc2376     if all else fail myself have power to die            exit
Doc2377 act iv scene i
Doc2378 friar laurences cell
Doc2379 enter friar [laurence] and county paris
Doc2380   friar on thursday sir? the time is very short
Doc2381   par my father capulet will have it so
Doc2382     and i am nothing slow to slack his haste
Doc2383   friar you say you do not know the ladys mind
Doc2384     uneven is the course i like it not
Doc2385   par immoderately she weeps for tybalts death
Doc2386     and therefore have i little talkd of love
Doc2387     for venus smiles not in a house of tears
Doc2388     now sir her father counts it dangerous
Doc2389     that she do give her sorrow so much sway
Doc2390     and in his wisdom hastes our marriage
Doc2391     to stop the inundation of her tears
Doc2392     which too much minded by herself alone
Doc2393     may be put from her by society
Doc2394     now do you know the reason of this haste
Doc2395   friar [aside] i would i knew not why it should be slowd 
Doc2396     look sir here comes the lady toward my cell
Doc2397                     enter juliet
Doc2398   par happily met my lady and my wife
Doc2399   jul that may be sir when i may be a wife
Doc2400   par that may be must be love on thursday next
Doc2401   jul what must be shall be
Doc2402   friar thats a certain text
Doc2403   par come you to make confession to this father?
Doc2404   jul to answer that i should confess to you
Doc2405   par do not deny to him that you love me
Doc2406   jul i will confess to you that i love him
Doc2407   par so will ye i am sure that you love me
Doc2408   jul if i do so it will be of more price
Doc2409     being spoke behind your back than to your face
Doc2410   par poor soul thy face is much abusd with tears
Doc2411   jul the tears have got small victory by that
Doc2412     for it was bad enough before their spite
Doc2413   par thou wrongst it more than tears with that report
Doc2414   jul that is no slander sir which is a truth
Doc2415     and what i spake i spake it to my face
Doc2416   par thy face is mine and thou hast slandred it
Doc2417   jul it may be so for it is not mine own
Doc2418     are you at leisure holy father now
Doc2419     or shall i come to you at evening mass
Doc2420   friar my leisure serves me pensive daughter now
Doc2421     my lord we must entreat the time alone
Doc2422   par god shield i should disturb devotion
Doc2423     juliet on thursday early will i rouse ye
Doc2424     till then adieu and keep this holy kiss             exit
Doc2425   jul o shut the door and when thou hast done so
Doc2426     come weep with me  past hope past cure past help
Doc2427   friar ah juliet i already know thy grief
Doc2428     it strains me past the compass of my wits
Doc2429     i hear thou must and nothing may prorogue it
Doc2430     on thursday next be married to this county
Doc2431   jul tell me not friar that thou hearst of this
Doc2432     unless thou tell me how i may prevent it
Doc2433     if in thy wisdom thou canst give no help
Doc2434     do thou but call my resolution wise
Doc2435     and with this knife ill help it presently
Doc2436     god joind my heart and romeos thou our hands
Doc2437     and ere this hand by thee to romeos seald
Doc2438     shall be the label to another deed
Doc2439     or my true heart with treacherous revolt
Doc2440     turn to another this shall slay them both
Doc2441     therefore out of thy long experiencd time
Doc2442     give me some present counsel or behold
Doc2443     twixt my extremes and me this bloody knife
Doc2444     shall play the empire arbitrating that
Doc2445     which the commission of thy years and art
Doc2446     could to no issue of true honour bring
Doc2447     be not so long to speak i long to die
Doc2448     if what thou speakst speak not of remedy
Doc2449   friar hold daughter i do spy a kind of hope
Doc2450     which craves as desperate an execution
Doc2451     as that is desperate which we would prevent
Doc2452     if rather than to marry county paris
Doc2453     thou hast the strength of will to slay thyself
Doc2454     then is it likely thou wilt undertake
Doc2455     a thing like death to chide away this shame
Doc2456     that copst with death himself to scape from it
Doc2457     and if thou darst ill give thee remedy
Doc2458   jul o bid me leap rather than marry paris
Doc2459     from off the battlements of yonder tower
Doc2460     or walk in thievish ways or bid me lurk
Doc2461     where serpents are chain me with roaring bears
Doc2462     or shut me nightly in a charnel house
Doc2463     oercoverd quite with dead mens rattling bones
Doc2464     with reeky shanks and yellow chapless skulls
Doc2465     or bid me go into a new made grave
Doc2466     and hide me with a dead man in his shroud 
Doc2467     things that to hear them told have made me tremble 
Doc2468     and i will do it without fear or doubt
Doc2469     to live an unstaind wife to my sweet love
Doc2470   friar hold then go home be merry give consent
Doc2471     to marry paris wednesday is to morrow
Doc2472     to morrow night look that thou lie alone
Doc2473     let not the nurse lie with thee in thy chamber
Doc2474     take thou this vial being then in bed
Doc2475     and this distilled liquor drink thou off
Doc2476     when presently through all thy veins shall run
Doc2477     a cold and drowsy humour for no pulse
Doc2478     shall keep his native progress but surcease
Doc2479     no warmth no breath shall testify thou livest
Doc2480     the roses in thy lips and cheeks shall fade
Doc2481     to paly ashes thy eyes windows fall
Doc2482     like death when he shuts up the day of life
Doc2483     each part deprivd of supple government
Doc2484     shall stiff and stark and cold appear like death
Doc2485     and in this borrowed likeness of shrunk death
Doc2486     thou shalt continue two and forty hours
Doc2487     and then awake as from a pleasant sleep
Doc2488     now when the bridegroom in the morning comes
Doc2489     to rouse thee from thy bed there art thou dead
Doc2490     then as the manner of our country is
Doc2491     in thy best robes uncovered on the bier
Doc2492     thou shalt be borne to that same ancient vault
Doc2493     where all the kindred of the capulets lie
Doc2494     in the mean time against thou shalt awake
Doc2495     shall romeo by my letters know our drift
Doc2496     and hither shall he come and he and i
Doc2497     will watch thy waking and that very night
Doc2498     shall romeo bear thee hence to mantua
Doc2499     and this shall free thee from this present shame
Doc2500     if no inconstant toy nor womanish fear
Doc2501     abate thy valour in the acting it
Doc2502   jul give me give me o tell not me of fear
Doc2503   friar hold get you gone be strong and prosperous
Doc2504     in this resolve ill send a friar with speed
Doc2505     to mantua with my letters to thy lord
Doc2506   jul love give me strength and strength shall help afford
Doc2507     farewell dear father
Doc2508                                                          exeunt
Doc2509 scene ii
Doc2510 capulets house
Doc2511 enter father capulet mother nurse and servingmen
Doc2512                         two or three
Doc2513   cap so many guests invite as here are writ
Doc2514                                             [exit a servingman]
Doc2515     sirrah go hire me twenty cunning cooks
Doc2516   serv you shall have none ill sir for ill try if they can
Doc2517     lick their fingers
Doc2518   cap how canst thou try them so?
Doc2519   serv marry sir tis an ill cook that cannot lick his own
Doc2520     fingers therefore he that cannot lick his fingers goes not
Doc2521     with me
Doc2522   cap go begone
Doc2523                                                 exit servingman
Doc2524     we shall be much unfurnishd for this time
Doc2525     what is my daughter gone to friar laurence?
Doc2526   nurse ay forsooth
Doc2527   cap well be may chance to do some good on her
Doc2528     a peevish self willd harlotry it is
Doc2529                         enter juliet
Doc2530   nurse see where she comes from shrift with merry look
Doc2531   cap how now my headstrong? where have you been gadding?
Doc2532   jul where i have learnt me to repent the sin
Doc2533     of disobedient opposition
Doc2534     to you and your behests and am enjoind
Doc2535     by holy laurence to fall prostrate here
Doc2536     to beg your pardon pardon i beseech you
Doc2537     henceforward i am ever ruld by you
Doc2538   cap send for the county go tell him of this
Doc2539     ill have this knot knit up to morrow morning
Doc2540   jul i met the youthful lord at laurence cell
Doc2541     and gave him what becomed love i might
Doc2542     not stepping oer the bounds of modesty
Doc2543   cap why i am glad ont this is well stand up
Doc2544     this is ast should be let me see the county
Doc2545     ay marry go i say and fetch him hither
Doc2546     now afore god this reverend holy friar
Doc2547     all our whole city is much bound to him
Doc2548   jul nurse will you go with me into my closet
Doc2549     to help me sort such needful ornaments
Doc2550     as you think fit to furnish me to morrow?
Doc2551   mother no not till thursday there is time enough
Doc2552   cap go nurse go with her well to church to morrow
Doc2553                                         exeunt juliet and nurse
Doc2554   mother we shall be short in our provision
Doc2555     tis now near night
Doc2556   cap tush i will stir about
Doc2557     and all things shall be well i warrant thee wife
Doc2558     go thou to juliet help to deck up her
Doc2559     ill not to bed to night let me alone
Doc2560     ill play the housewife for this once what ho
Doc2561     they are all forth well i will walk myself
Doc2562     to county paris to prepare him up
Doc2563     against to morrow my heart is wondrous light
Doc2564     since this same wayward girl is so reclaimd
Doc2565                                                          exeunt
Doc2566 scene iii
Doc2567 juliets chamber
Doc2568 enter juliet and nurse
Doc2569   jul ay those attires are best but gentle nurse
Doc2570     i pray thee leave me to myself to night
Doc2571     for i have need of many orisons
Doc2572     to move the heavens to smile upon my state
Doc2573     which well thou knowest is cross and full of sin
Doc2574                           enter mother
Doc2575   mother what are you busy ho? need you my help?
Doc2576   jul no madam we have culld such necessaries
Doc2577     as are behooffull for our state to morrow
Doc2578     so please you let me now be left alone
Doc2579     and let the nurse this night sit up with you
Doc2580     for i am sure you have your hands full all
Doc2581     in this so sudden business
Doc2582   mother good night
Doc2583     get thee to bed and rest for thou hast need
Doc2584                                       exeunt [mother and nurse]
Doc2585   jul farewell god knows when we shall meet again
Doc2586     i have a faint cold fear thrills through my veins
Doc2587     that almost freezes up the heat of life
Doc2588     ill call them back again to comfort me
Doc2589     nurse  what should she do here?
Doc2590     my dismal scene i needs must act alone
Doc2591     come vial
Doc2592     what if this mixture do not work at all?
Doc2593     shall i be married then to morrow morning?
Doc2594     no no this shall forbid it lie thou there
Doc2595                                              lays down a dagger
Doc2596     what if it be a poison which the friar
Doc2597     subtilly hath ministred to have me dead
Doc2598     lest in this marriage he should be dishonourd
Doc2599     because he married me before to romeo?
Doc2600     i fear it is and yet methinks it should not
Doc2601     for he hath still been tried a holy man
Doc2602     i will not entertain so bad a thought
Doc2603     how if when i am laid into the tomb
Doc2604     i wake before the time that romeo
Doc2605     come to redeem me? theres a fearful point
Doc2606     shall i not then be stifled in the vault
Doc2607     to whose foul mouth no healthsome air breathes in
Doc2608     and there die strangled ere my romeo comes?
Doc2609     or if i live is it not very like
Doc2610     the horrible conceit of death and night
Doc2611     together with the terror of the place 
Doc2612     as in a vault an ancient receptacle
Doc2613     where for this many hundred years the bones
Doc2614     of all my buried ancestors are packd
Doc2615     where bloody tybalt yet but green in earth
Doc2616     lies festring in his shroud where as they say
Doc2617     at some hours in the night spirits resort 
Doc2618     alack alack is it not like that i
Doc2619     so early waking  what with loathsome smells
Doc2620     and shrieks like mandrakes torn out of the earth
Doc2621     that living mortals hearing them run mad 
Doc2622     o if i wake shall i not be distraught
Doc2623     environed with all these hideous fears
Doc2624     and madly play with my forefathers joints
Doc2625     and pluck the mangled tybalt from his shroud
Doc2626     and in this rage with some great kinsmans bone
Doc2627     as with a club dash out my desprate brains?
Doc2628     o look methinks i see my cousins ghost
Doc2629     seeking out romeo that did spit his body
Doc2630     upon a rapiers point stay tybalt stay
Doc2631     romeo i come this do i drink to thee
Doc2632         she [drinks and] falls upon her bed within the curtains
Doc2633 scene iv
Doc2634 capulets house
Doc2635 enter lady of the house and nurse
Doc2636   lady hold take these keys and fetch more spices nurse
Doc2637   nurse they call for dates and quinces in the pastry
Doc2638                        enter old capulet
Doc2639   cap come stir stir stir the second cock hath crowd
Doc2640     the curfew bell hath rung tis three oclock
Doc2641     look to the bakd meats good angelica
Doc2642     spare not for cost
Doc2643   nurse go you cot quean go
Doc2644     get you to bed faith youll be sick to morrow
Doc2645     for this nights watching
Doc2646   cap no not a whit what i have watchd ere now
Doc2647     all night for lesser cause and neer been sick
Doc2648   lady ay you have been a mouse hunt in your time
Doc2649     but i will watch you from such watching now
Doc2650                                           exeunt lady and nurse
Doc2651   cap a jealous hood a jealous hood
Doc2652   enter three or four [fellows with spits and logs and baskets
Doc2653     what is there? now fellow
Doc2654   fellow things for the cook sir but i know not what
Doc2655   cap make haste make haste [exit fellow] sirrah fetch drier
Doc2656       logs
Doc2657     call peter he will show thee where they are
Doc2658   fellow i have a head sir that will find out logs
Doc2659     and never trouble peter for the matter
Doc2660   cap mass and well said a merry whoreson ha
Doc2661     thou shalt be loggerhead [exit fellow] good faith tis day
Doc2662     the county will be here with music straight
Doc2663     for so he said he would                         play music
Doc2664     i hear him near
Doc2665     nurse wife what ho what nurse i say
Doc2666                               enter nurse
Doc2667     go waken juliet go and trim her up
Doc2668     ill go and chat with paris hie make haste
Doc2669     make haste the bridegroom he is come already
Doc2670     make haste i say
Doc2671                                                        [exeunt]
Doc2672 scene v
Doc2673 juliets chamber
Doc2674 [enter nurse]
Doc2675   nurse mistress what mistress juliet fast i warrant her she
Doc2676     why lamb why lady fie you slug abed
Doc2677     why love i say madam sweetheart why bride
Doc2678     what not a word? you take your pennyworths now
Doc2679     sleep for a week for the next night i warrant
Doc2680     the county paris hath set up his rest
Doc2681     that you shall rest but little god forgive me
Doc2682     marry and amen how sound is she asleep
Doc2683     i needs must wake her madam madam madam
Doc2684     ay let the county take you in your bed
Doc2685     hell fright you up i faith will it not be?
Doc2686                                      [draws aside the curtains]
Doc2687     what dressd and in your clothes and down again?
Doc2688     i must needs wake you lady lady lady
Doc2689     alas alas help help my ladys dead
Doc2690     o weraday that ever i was born
Doc2691     some aqua vitae ho my lord my lady
Doc2692                            enter mother
Doc2693   mother what noise is here?
Doc2694   nurse o lamentable day
Doc2695   mother what is the matter?
Doc2696   nurse look look o heavy day
Doc2697   mother o me o me my child my only life
Doc2698     revive look up or i will die with thee
Doc2699     help help call help
Doc2700                             enter father
Doc2701   father for shame bring juliet forth her lord is come
Doc2702   nurse shes dead deceasd shes dead alack the day
Doc2703   mother alack the day shes dead shes dead shes dead
Doc2704   cap ha let me see her out alas shes cold
Doc2705     her blood is settled and her joints are stiff
Doc2706     life and these lips have long been separated
Doc2707     death lies on her like an untimely frost
Doc2708     upon the sweetest flower of all the field
Doc2709   nurse o lamentable day
Doc2710   mother o woful time
Doc2711   cap death that hath taen her hence to make me wail
Doc2712     ties up my tongue and will not let me speak
Doc2713   enter friar [laurence] and the county [paris] with musicians
Doc2714   friar come is the bride ready to go to church?
Doc2715   cap ready to go but never to return
Doc2716     o son the night before thy wedding day
Doc2717     hath death lain with thy wife see there she lies
Doc2718     flower as she was deflowered by him
Doc2719     death is my son in law death is my heir
Doc2720     my daughter he hath wedded i will die
Doc2721     and leave him all life living all is deaths
Doc2722   par have i thought long to see this mornings face
Doc2723     and doth it give me such a sight as this?
Doc2724   mother accursd unhappy wretched hateful day
Doc2725     most miserable hour that eer time saw
Doc2726     in lasting labour of his pilgrimage
Doc2727     but one poor one one poor and loving child
Doc2728     but one thing to rejoice and solace in
Doc2729     and cruel death hath catchd it from my sight
Doc2730   nurse o woe? o woful woful woful day
Doc2731     most lamentable day most woful day
Doc2732     that ever ever i did yet behold
Doc2733     o day o day o day o hateful day
Doc2734     never was seen so black a day as this
Doc2735     o woful day o woful day
Doc2736   par beguild divorced wronged spited slain
Doc2737     most detestable death by thee beguild
Doc2738     by cruel cruel thee quite overthrown
Doc2739     o love o life not life but love in death
Doc2740   cap despisd distressed hated martyrd killd
Doc2741     uncomfortable time why camst thou now
Doc2742     to murther murther our solemnity?
Doc2743     o child o child my soul and not my child
Doc2744     dead art thou dead alack my child is dead
Doc2745     and with my child my joys are buried
Doc2746   friar peace ho for shame confusions cure lives not
Doc2747     in these confusions heaven and yourself
Doc2748     had part in this fair maid now heaven hath all
Doc2749     and all the better is it for the maid
Doc2750     your part in her you could not keep from death
Doc2751     but heaven keeps his part in eternal life
Doc2752     the most you sought was her promotion
Doc2753     for twas your heaven she should be advancd
Doc2754     and weep ye now seeing she is advancd
Doc2755     above the clouds as high as heaven itself?
Doc2756     o in this love you love your child so ill
Doc2757     that you run mad seeing that she is well
Doc2758     shes not well married that lives married long
Doc2759     but shes best married that dies married young
Doc2760     dry up your tears and stick your rosemary
Doc2761     on this fair corse and as the custom is
Doc2762     in all her best array bear her to church
Doc2763     for though fond nature bids us all lament
Doc2764     yet natures tears are reasons merriment
Doc2765   cap all things that we ordained festival
Doc2766     turn from their office to black funeral 
Doc2767     our instruments to melancholy bells
Doc2768     our wedding cheer to a sad burial feast
Doc2769     our solemn hymns to sullen dirges change
Doc2770     our bridal flowers serve for a buried corse
Doc2771     and all things change them to the contrary
Doc2772   friar sir go you in and madam go with him
Doc2773     and go sir paris every one prepare
Doc2774     to follow this fair corse unto her grave
Doc2775     the heavens do lowr upon you for some ill
Doc2776     move them no more by crossing their high will
Doc2777                            exeunt manent musicians [and nurse]
Doc2778   1 mus faith we may put up our pipes and be gone
Doc2779   nurse honest good fellows ah put up put up
Doc2780     for well you know this is a pitiful case            [exit]
Doc2781   1 mus ay by my troth the case may be amended
Doc2782                          enter peter
Doc2783   pet musicians o musicians hearts ease hearts ease
Doc2784     o an you will have me live play hearts ease
Doc2785   1 mus why hearts ease
Doc2786   pet o musicians because my heart itself plays my heart is
Doc2787     full of woe o play me some merry dump to comfort me
Doc2788   1 mus not a dump we tis no time to play now
Doc2789   pet you will not then?
Doc2790   1 mus no
Doc2791   pet i will then give it you soundly
Doc2792   1 mus what will you give us?
Doc2793   pet no money on my faith but the gleek i will give you the
Doc2794      minstrel
Doc2795   1 mus then will i give you the serving creature
Doc2796   pet then will i lay the serving creatures dagger on your pate
Doc2797     i will carry no crotchets ill re you ill fa you do you
Doc2798     note me?
Doc2799   1 mus an you re us and fa us you note us
Doc2800   2 mus pray you put up your dagger and put out your wit
Doc2801   pet then have at you with my wit i will dry beat you with an
Doc2802     iron wit and put up my iron dagger answer me like men
Doc2803            when griping grief the heart doth wound
Doc2804              and doleful dumps the mind oppress
Doc2805            then music with her silver sound 
Doc2806     why silver sound? why music with her silver sound?
Doc2807     what say you simon catling?
Doc2808   1 mus marry sir because silver hath a sweet sound
Doc2809   pet pretty what say you hugh rebeck?
Doc2810   2 mus i say silver sound because musicians sound for silver
Doc2811   pet pretty too what say you james soundpost?
Doc2812   3 mus faith i know not what to say
Doc2813   pet o i cry you mercy you are the singer i will say for you it
Doc2814     is music with her silver sound because musicians have no
Doc2815     gold for sounding
Doc2816            then music with her silver sound
Doc2817              with speedy help doth lend redress         [exit
Doc2818   1 mus what a pestilent knave is this same?
Doc2819   2 mus hang him jack come well in here tarry for the
Doc2820     mourners and stay dinner
Doc2821                                                          exeunt
Doc2822 act v scene i
Doc2823 mantua a street
Doc2824 enter romeo
Doc2825   rom if i may trust the flattering truth of sleep
Doc2826     my dreams presage some joyful news at hand
Doc2827     my bosoms lord sits lightly in his throne
Doc2828     and all this day an unaccustomd spirit
Doc2829     lifts me above the ground with cheerful thoughts
Doc2830     i dreamt my lady came and found me dead
Doc2831     (strange dream that gives a dead man leave to think)
Doc2832     and breathd such life with kisses in my lips
Doc2833     that i revivd and was an emperor
Doc2834     ah me how sweet is love itself possessd
Doc2835     when but loves shadows are so rich in joy
Doc2836                 enter romeos man balthasar booted
Doc2837     news from verona how now balthasar?
Doc2838     dost thou not bring me letters from the friar?
Doc2839     how doth my lady? is my father well?
Doc2840     how fares my juliet? that i ask again
Doc2841     for nothing can be ill if she be well
Doc2842   man then she is well and nothing can be ill
Doc2843     her body sleeps in capels monument
